PROG,USO,DESTINAZIONE,PORTATA,FLAG_ANN_MASSA_RIMORC,CILINDRATA,ALIMENTAZIONE,MASSA_RIMORCHIABILE,NUMERO_POSTI,TIPO_ALIMENTAZIONE_IMPIANTO,KW,DT_PRIMA_IMMATRICOLAZIONE,NUMERO_ASSI,COD_SIGLA_EURO,EMISSIONI_CO2,PESO_COMPLESSIVO,COD_ISTAT_COMUNE,COD_ISTAT_PROVINCIA
5336416,0,A,365,P,00999,B,800,5,,33,1994,2,EURO1,0,1205,050,098
11042329,0,A,490,P,02987,G,3500,5,,160,2009,2,EURO4,2720,2750,007,015
12057704,0,A,375,P,"1390,00",B,1200,4,,90,2011,2,EURO5,1220,1575,133,012
723424,0,A,330,P,01186,B,930,5,,46,1979,2,EURO0,0,1260,070,012
2263391,0,A,425,P,01587,B,1200,5,,80,2002,2,EURO3,1690,1693,142,015
13850083,0,A,470,P,"1368,00",B,1000,5,,70,2014,2,EURO6,1490,1800,075,013
2803055,0,A,0,P,01995,G,1300,5,,74,2001,2,EURO3,1540,1935,024,016
13635548,0,3,144,P,"545,00",B,161,2,,15,2014,2,EURO2,0,560,137,012
7126198,0,A,585,P,01598,ME,400,7,,69,2007,2,EURO4,1380,2250,166,015
396663,,,260,,01585,B,,4,,74,,2,,,1300,024,012
13886152,0,M,126,A,"645,00",B,0,2,,50.5,2014,2,EURO3,0,415,075,013
11405657,0,A,475,P,01910,G,1500,5,F,110,2008,2,EURO4,1590,2090,146,015
8851791,4,C,775,P,01248,G,1200,2,,55,2007,2,EURO4,0,2170,040,108
10700142,0,A,365,P,01368,B,800,4,,73.5,2008,2,EURO4,1490,1370,054,019
12158456,0,A,488,P,"1199,00",G,1000,5,,55,2011,2,EURO5,990,1620,175,017
1365725,0,A,464,P,01398,G,1100,5,,50,2005,2,EURO3,1130,1525,071,015
443780,0,A,380,,01108,B,,5,,40,,2,EURO1,,1310,118,015
10565117,0,A,450,P,01992,G,1500,5,,80,2008,2,EURO4,1420,1830,136,013
8954260,4,C,1400,P,"2464,00",G,2000,3,,88,2007,2,EURO4,0,3500,146,015
10967523,0,A,415,P,01149,B,1200,5,,55,2009,2,EURO4,1390,1580,053,013
11944527,0,A,405,P,"1495,00",B,1350,5,,77,2011,2,EURO4,1810,1720,202,016
13457776,0,A,345,P,"1199,00",B,1150,5,,60,2013,2,EURO5,1090,1475,029,017
13313352,0,A,411,P,"898,00",B,1100,5,,66,2013,2,EURO6,1240,1550,146,015
12106130,0,A,595,P,"1968,00",G,2200,5,,103,2011,2,EURO5,1690,2270,188,017
11149344,0,A,285,A,00998,B,0,4,,50,2009,2,EURO4,1060,1190,034,108
1476363,0,A,303,P,01360,B,535,4,,54,2004,2,EURO3,1430,1365,048,018
15887906,0,A,586,P,"1461,00",G,1100,5,F,66,2017,2,EURO6,1330,2050,146,015
8209811,0,A,445,P,01910,G,1300,5,,88,2006,2,EURO4,1530,1830,041,017
5590953,0,A,330,P,01297,B,900,5,,43,1994,2,EURO1,0,1270,142,015
5399464,0,A,410,P,01595,B,1000,5,,74,1995,2,EURO2,0,1550,047,020
15943440,0,A,457,P,"1229,00",B,700,5,,51,2017,2,EURO6,1260,1620,012,015
14448288,0,A,375,P,"1329,00",B,880,5,,73,2015,2,EURO6,1140,1490,146,015
5067165,0,A,385,P,01242,B,900,5,,55,1996,2,EURO2,0,1450,092,012
13567936,0,A,365,P,"1242,00",B,800,4,,51,2013,2,EURO6,1180,1340,096,015
1215378,0,A,502,P,01248,G,1200,5,,51,2005,2,EURO3,1350,1895,021,017
15954607,0,A,460,P,"1199,00",B,720,5,,60,2017,2,EURO6,1070,1500,029,017
13508743,0,A,370,P,"1248,00",G,900,4,,51,2005,2,EURO4,1140,1380,043,108
11885955,0,A,500,P,"1995,00",G,2000,5,,135,2010,2,EURO5,1470,2300,096,016
5563370,0,A,330,P,01598,B,1000,5,,65,1994,2,EURO1,0,1460,213,015
4398649,0,A,370,P,01896,G,1200,5,,81,1997,2,EURO2,0,1630,119,017
9945730,0,A,365,P,01242,B,800,4,,51,2008,2,EURO4,1190,1305,118,015
9905649,0,M,104,A,01202,B,0,1,,67,2008,2,EURO3,0,439,104,018
13905126,0,A,411,P,"898,00",B,1100,5,,66,2014,2,EURO5,1240,1550,075,012
11906377,0,C,16760,P,7790,G,18000,2,,265,2007,3,EURO5,0,26000,075,016
572038,0,A,400,P,01248,G,900,4,,51,2005,2,EURO4,1230,1520,125,017
1601211,0,A,425,P,01995,G,1600,5,,110,2004,2,EURO4,1530,1915,226,015
4107619,0,M,,A,00123,B,0,2,,7.36,1966,2,EURO0,0,,014,097
3669434,4,P,505,P,01390,B,950,5,,55,1999,2,EURO2,0,1645,110,018
12136972,0,A,765,P,"1984,00",G,1600,5,,120,2011,2,EURO5,1790,2505,119,012
13505381,0,A,462,P,"1229,00",B,850,5,,63,2013,2,EURO5,1290,1625,024,016
9932972,0,A,535,P,"2777,00",G,1600,7,F,120,2008,2,EURO4,2470,2775,045,097
10868797,0,A,371,A,01390,B,0,4,,90,2009,2,EURO5,1490,1690,032,012
10812112,0,A,370,P,01242,B,800,4,,44,2009,2,EURO4,1550,1410,001,108
15647020,0,A,620,P,"1461,00",G,1400,7,,66,2016,2,EURO6,1030,1900,146,015
9689565,0,A,547,P,01995,G,1400,5,,110,2008,2,EURO4,1740,2085,097,016
13228708,0,A,485,P,"1242,00",B,900,5,,51,2012,2,EURO5,1260,1590,033,108
11521921,0,A,455,A,02148,G,0,4,F,110,2010,2,EURO4,1590,1985,010,015
14525221,0,A,480,P,"1368,00",B,1200,5,,103,2015,2,EURO6,1330,1875,053,013
4268698,0,A,465,P,01995,B,1500,5,,151,1997,2,EURO2,0,1995,012,108
5940285,0,A,380,P,01781,B,1000,5,,100,1987,2,EURO0,0,1410,030,020
14673006,0,A,260,A,"998,00",B,0,4,,50,2007,2,EURO4,1090,1180,146,015
6466567,0,A,412,P,01896,G,1400,5,,85,2001,2,EURO3,1380,1820,110,018
8220010,0,A,445,P,01910,G,1500,5,,110,2005,2,EURO4,1590,2055,192,015
1743575,0,A,370,P,00998,B,650,5,,48,2004,2,EURO4,1340,1370,097,019
5168171,4,P,830,P,02446,G,1700,5,,59,1996,2,EURO2,0,2500,173,018
789586,0,A,0,,01500,B,,5,,0,,2,,,0,036,013
2502328,0,A,0,P,01689,G,1000,5,,67,2002,2,EURO3,1930,0,081,017
